benchmark,M,blockSize,k,cxpb,gen,NGEN,seed
OMM,2,10,0,0.0,6969,10000000,9
OMM,2,10,0,0.0,7666,10000000,8
LOTZ,2,10,0,0.0,11216,10000000,8
LOTZ,2,10,0,0.0,19017,10000000,9
OJZJ,2,10,2,0.0,32549,10000000,9
OMM,2,15,0,0.0,34769,10000000,9
OMM,2,15,0,0.0,48724,10000000,8
OJZJ,2,10,2,0.0,58913,10000000,8
LOTZ,2,15,0,0.0,57483,10000000,8
LOTZ,2,15,0,0.0,91091,10000000,9
OMM,2,20,0,0.0,80747,10000000,9
OMM,2,20,0,0.0,107728,10000000,8
OJZJ,2,15,2,0.0,198866,10000000,8
LOTZ,2,20,0,0.0,213622,10000000,9
LOTZ,2,20,0,0.0,291681,10000000,8
OJZJ,2,15,2,0.0,347762,10000000,9
OMM,2,30,0,0.0,368012,10000000,8
OMM,2,30,0,0.0,353749,10000000,9
OJZJ,2,20,2,0.0,910305,10000000,8
LOTZ,2,30,0,0.0,966721,10000000,9
OJZJ,2,20,2,0.0,1184779,10000000,9
LOTZ,2,30,0,0.0,1111743,10000000,8
LOTZ,2,10,0,0.0,19444,10000000,0
OJZJ,2,10,2,0.0,183341,10000000,0
OMM,2,15,0,0.0,46488,10000000,0
LOTZ,2,15,0,0.0,59390,10000000,0
OJZJ,2,5,2,0.0,2774,10000000,1
OMM,2,10,0,0.0,10177,10000000,1
LOTZ,2,10,0,0.0,15386,10000000,1
OJZJ,2,10,2,0.0,55006,10000000,1
OMM,2,5,0,0.0,817,10000000,2
LOTZ,2,5,0,0.0,993,10000000,2
OJZJ,2,5,2,0.0,3765,10000000,2
OMM,2,10,0,0.0,11180,10000000,2
OMM,2,15,0,0.0,29404,10000000,1
LOTZ,2,10,0,0.0,16241,10000000,2
LOTZ,2,15,0,0.0,71386,10000000,1
OJZJ,2,10,2,0.0,91427,10000000,2
OMM,2,15,0,0.0,53148,10000000,2
LOTZ,2,10,0,0.0,15443,10000000,3
OMM,2,5,0,0.0,566,10000000,9
LOTZ,2,15,0,0.0,68594,10000000,2
LOTZ,2,20,0,0.0,243121,10000000,0
OMM,2,5,0,0.0,829,10000000,0
LOTZ,2,5,0,0.0,1237,10000000,0
OJZJ,2,5,2,0.0,5294,10000000,0
OMM,2,10,0,0.0,11192,10000000,0
OJZJ,2,5,2,0.0,5145,10000000,4
OMM,2,10,0,0.0,4320,10000000,4
LOTZ,2,10,0,0.0,13996,10000000,4
OJZJ,2,10,2,0.0,140441,10000000,3
OJZJ,2,10,2,0.0,83092,10000000,4
OMM,2,15,0,0.0,30829,10000000,4
OMM,2,15,0,0.0,51096,10000000,3
OMM,2,5,0,0.0,390,10000000,8
OMM,2,5,0,0.0,1479,10000000,5
LOTZ,2,5,0,0.0,802,10000000,5
OJZJ,2,5,2,0.0,2691,10000000,5
OMM,2,10,0,0.0,7793,10000000,5
LOTZ,2,15,0,0.0,46213,10000000,3
LOTZ,2,10,0,0.0,18250,10000000,5
LOTZ,2,15,0,0.0,55635,10000000,4
OMM,2,15,0,0.0,23406,10000000,5
LOTZ,2,20,0,0.0,179476,10000000,3
OJZJ,2,15,2,0.0,161317,10000000,1
LOTZ,2,15,0,0.0,58549,10000000,5
OJZJ,2,10,2,0.0,83157,10000000,5
OMM,2,20,0,0.0,91780,10000000,1
OJZJ,2,15,2,0.0,192950,10000000,4
OMM,2,20,0,0.0,65118,10000000,4
LOTZ,2,20,0,0.0,228576,10000000,1
OMM,2,30,0,0.0,314434,10000000,2
LOTZ,2,20,0,0.0,172388,10000000,4
OMM,2,30,0,0.0,309552,10000000,5
OJZJ,2,15,2,0.0,474791,10000000,2
OJZJ,2,15,2,0.0,405352,10000000,5
OMM,2,20,0,0.0,90881,10000000,2
OMM,2,20,0,0.0,74168,10000000,5
LOTZ,2,20,0,0.0,117135,10000000,5
LOTZ,2,20,0,0.0,185150,10000000,2
LOTZ,2,30,0,0.0,568645,10000000,5
OMM,2,5,0,0.0,691,10000000,6
LOTZ,2,5,0,0.0,1069,10000000,6
OJZJ,2,5,2,0.0,3202,10000000,6
OMM,2,10,0,0.0,7541,10000000,6
LOTZ,2,10,0,0.0,11800,10000000,6
OJZJ,2,10,2,0.0,57423,10000000,6
OMM,2,15,0,0.0,43750,10000000,6
OJZJ,2,15,2,0.0,889135,10000000,3
LOTZ,2,15,0,0.0,75736,10000000,6
OMM,2,20,0,0.0,164552,10000000,3
LOTZ,2,20,0,0.0,205130,10000000,6
OJZJ,2,15,2,0.0,1223867,10000000,0
OMM,2,20,0,0.0,92772,10000000,0
OJZJ,2,5,2,0.0,2674,10000000,7
OMM,2,10,0,0.0,8466,10000000,7
LOTZ,2,10,0,0.0,14953,10000000,7
LOTZ,2,30,0,0.0,968941,10000000,2
OMM,2,5,0,0.0,1906,10000000,3
LOTZ,2,5,0,0.0,811,10000000,3
OJZJ,2,5,2,0.0,4956,10000000,3
OMM,2,10,0,0.0,6689,10000000,3
OJZJ,2,10,2,0.0,91757,10000000,7
OMM,2,15,0,0.0,36435,10000000,7
LOTZ,2,15,0,0.0,85852,10000000,7
OJZJ,2,15,2,0.0,346892,10000000,6
OMM,2,20,0,0.0,83439,10000000,6
OJZJ,2,15,2,0.0,513558,10000000,7
OMM,2,20,0,0.0,95384,10000000,7
LOTZ,2,20,0,0.0,233182,10000000,7
OJZJ,2,20,2,0.0,1607277,10000000,3
OMM,2,30,0,0.0,313720,10000000,3
LOTZ,2,30,0,0.0,622725,10000000,3
OMM,2,5,0,0.0,600,10000000,4
LOTZ,2,5,0,0.0,841,10000000,4
OJZJ,2,20,2,0.0,2353192,10000000,2
OJZJ,2,20,2,0.0,2129476,10000000,6
OMM,2,30,0,0.0,335058,10000000,6
OJZJ,2,20,2,0.0,2617998,10000000,5
OJZJ,2,20,2,0.0,2877238,10000000,4
LOTZ,2,30,0,0.0,498315,10000000,6
OMM,2,5,0,0.0,1062,10000000,7
LOTZ,2,5,0,0.0,1406,10000000,7
OMM,2,30,0,0.0,351330,10000000,4
OJZJ,2,20,2,0.0,3244490,10000000,0
OJZJ,2,20,2,0.0,2277277,10000000,7
OMM,2,30,0,0.0,340474,10000000,0
OMM,2,30,0,0.0,367583,10000000,7
OJZJ,2,20,2,0.0,3427545,10000000,1
OMM,2,30,0,0.0,264710,10000000,1
LOTZ,2,30,0,0.0,942542,10000000,4
LOTZ,2,30,0,0.0,983714,10000000,0
OMM,2,5,0,0.0,1252,10000000,1
LOTZ,2,5,0,0.0,1516,10000000,1
LOTZ,2,30,0,0.0,910508,10000000,7
LOTZ,2,30,0,0.0,719319,10000000,1
LOTZ,2,5,0,0.0,1145,100000,9
LOTZ,2,5,0,0.0,683,100000,8
OJZJ,2,5,2,0.0,2822,100000,8
OJZJ,2,5,2,0.0,1230,100000,9
LOTZ,2,15,0,0.0,54013,10000000,10
LOTZ,2,15,0,0.0,50720,10000000,12
LOTZ,2,15,0,0.0,78210,10000000,13
LOTZ,2,15,0,0.0,67836,10000000,14
LOTZ,2,15,0,0.0,68366,10000000,17
LOTZ,2,15,0,0.0,83626,10000000,22
LOTZ,2,15,0,0.0,97717,10000000,28
LOTZ,2,20,0,0.0,207588,10000000,11
LOTZ,2,20,0,0.0,134349,10000000,12
LOTZ,2,20,0,0.0,115644,10000000,17
LOTZ,2,20,0,0.0,147946,10000000,19
LOTZ,2,25,0,0.0,283144,10000000,7
LOTZ,2,30,0,0.0,645619,10000000,14
LOTZ,2,30,0,0.0,678150,10000000,17
LOTZ,2,5,0,0.0,1504,10000000,10
LOTZ,2,5,0,0.0,1329,10000000,13
LOTZ,2,5,0,0.0,796,10000000,20
LOTZ,2,5,0,0.0,1388,10000000,24
OJZJ,2,10,2,0.0,87821,10000000,10
OJZJ,2,10,2,0.0,38132,10000000,12
OJZJ,2,10,2,0.0,78877,10000000,15
OJZJ,2,10,2,0.0,46065,10000000,22
OJZJ,2,15,2,0.0,337166,10000000,10
OJZJ,2,15,2,0.0,588617,10000000,12
OJZJ,2,15,2,0.0,1164130,10000000,13
OJZJ,2,15,2,0.0,345824,10000000,17
OJZJ,2,20,2,0.0,1391158,10000000,11
OJZJ,2,20,2,0.0,567723,10000000,15
OJZJ,2,20,2,0.0,1530232,10000000,19
OJZJ,2,5,2,0.0,3833,10000000,22
OMM,2,10,0,0.0,10318,10000000,15
OMM,2,25,0,0.0,128709,10000000,10
OMM,2,25,0,0.0,218079,10000000,11
OMM,2,25,0,0.0,263850,10000000,15
OMM,2,30,0,0.0,301703,10000000,14
OMM,2,25,0,0.0,205919,10000000,0
OMM,2,25,0,0.0,203542,10000000,1
OMM,2,25,0,0.0,177598,10000000,2
OMM,2,25,0,0.0,164481,10000000,3
OMM,2,25,0,0.0,137016,10000000,4
OMM,2,25,0,0.0,312894,10000000,5
OMM,2,25,0,0.0,108444,10000000,6
OMM,2,25,0,0.0,141400,10000000,8
OMM,2,25,0,0.0,140343,10000000,9
OMM,2,10,0,0.0,11318,10000000,10
OMM,2,20,0,0.0,93078,10000000,10
OMM,2,30,0,0.0,234869,10000000,10
OJZJ,2,5,2,0.0,4509,10000000,10
OJZJ,2,20,2,0.0,1029614,10000000,10
OMM,2,5,0,0.0,641,10000000,11
OMM,2,10,0,0.0,15373,10000000,11
OMM,2,15,0,0.0,42528,10000000,11
OMM,2,20,0,0.0,160172,10000000,11
OMM,2,30,0,0.0,246355,10000000,11
OJZJ,2,5,2,0.0,6872,10000000,11
OJZJ,2,10,2,0.0,73626,10000000,11
OJZJ,2,15,2,0.0,358086,10000000,11
OMM,2,5,0,0.0,663,10000000,12
OMM,2,10,0,0.0,10314,10000000,12
OMM,2,25,0,0.0,151667,10000000,12
OMM,2,30,0,0.0,247500,10000000,12
OJZJ,2,5,2,0.0,4510,10000000,12
OJZJ,2,20,2,0.0,916058,10000000,12
OMM,2,10,0,0.0,16907,10000000,13
OMM,2,25,0,0.0,116767,10000000,13
OMM,2,30,0,0.0,398845,10000000,13
OJZJ,2,5,2,0.0,5166,10000000,13
OJZJ,2,10,2,0.0,51147,10000000,13
OJZJ,2,20,2,0.0,1436786,10000000,13
OMM,2,5,0,0.0,1047,10000000,14
OMM,2,10,0,0.0,4234,10000000,14
OMM,2,20,0,0.0,68128,10000000,14
