benchmark,M,blockSize,k,cxpb,gen,NGEN,seed
COCZ,2,3,0,0,150,10000000,0
COCZ,2,3,0,0,187,10000000,1
COCZ,2,3,0,0,183,10000000,2
COCZ,2,3,0,0,267,10000000,3
COCZ,2,3,0,0,130,10000000,4
COCZ,2,3,0,0,449,10000000,5
COCZ,2,3,0,0,349,10000000,6
COCZ,2,3,0,0,248,10000000,7
COCZ,2,3,0,0,312,10000000,8
COCZ,2,3,0,0,229,10000000,9
COCZ,2,3,0,0,274,10000000,10
COCZ,2,3,0,0,418,10000000,11
COCZ,2,3,0,0,214,10000000,12
COCZ,2,3,0,0,353,10000000,13
COCZ,2,3,0,0,240,10000000,14
COCZ,2,3,0,0,280,10000000,15
COCZ,2,3,0,0,308,10000000,16
COCZ,2,3,0,0,288,10000000,17
COCZ,2,3,0,0,120,10000000,18
COCZ,2,3,0,0,245,10000000,19
COCZ,2,3,0,0,192,10000000,20
COCZ,2,3,0,0,211,10000000,21
COCZ,2,3,0,0,217,10000000,22
COCZ,2,3,0,0,135,10000000,23
COCZ,2,3,0,0,258,10000000,24
COCZ,2,3,0,0,270,10000000,25
COCZ,2,3,0,0,307,10000000,26
COCZ,2,3,0,0,233,10000000,27
COCZ,2,3,0,0,219,10000000,28
COCZ,2,3,0,0,364,10000000,29
COCZ,2,5,0,0,879,10000000,0
COCZ,2,5,0,0,770,10000000,1
COCZ,2,5,0,0,711,10000000,2
COCZ,2,5,0,0,1970,10000000,3
COCZ,2,5,0,0,913,10000000,4
COCZ,2,5,0,0,784,10000000,5
COCZ,2,5,0,0,1865,10000000,6
COCZ,2,5,0,0,1186,10000000,7
COCZ,2,5,0,0,549,10000000,8
COCZ,2,5,0,0,1182,10000000,9
COCZ,2,5,0,0,1289,10000000,10
COCZ,2,5,0,0,882,10000000,11
COCZ,2,5,0,0,1180,10000000,12
COCZ,2,5,0,0,639,10000000,13
COCZ,2,5,0,0,1123,10000000,14
COCZ,2,5,0,0,1589,10000000,15
COCZ,2,5,0,0,1637,10000000,16
COCZ,2,5,0,0,1150,10000000,17
COCZ,2,5,0,0,713,10000000,18
COCZ,2,5,0,0,848,10000000,19
COCZ,2,5,0,0,857,10000000,20
COCZ,2,5,0,0,1245,10000000,21
COCZ,2,5,0,0,1949,10000000,22
COCZ,2,5,0,0,1401,10000000,23
COCZ,2,5,0,0,700,10000000,24
COCZ,2,5,0,0,1073,10000000,25
COCZ,2,5,0,0,965,10000000,26
COCZ,2,5,0,0,482,10000000,27
COCZ,2,5,0,0,1132,10000000,28
COCZ,2,5,0,0,1140,10000000,29
COCZ,2,7,0,0,2243,10000000,0
COCZ,2,7,0,0,1919,10000000,1
COCZ,2,7,0,0,5026,10000000,2
COCZ,2,7,0,0,2612,10000000,3
COCZ,2,7,0,0,2789,10000000,4
COCZ,2,7,0,0,2529,10000000,5
COCZ,2,7,0,0,3211,10000000,6
COCZ,2,7,0,0,1785,10000000,7
COCZ,2,7,0,0,3221,10000000,8
COCZ,2,7,0,0,3489,10000000,9
COCZ,2,7,0,0,4666,10000000,10
COCZ,2,7,0,0,2437,10000000,11
COCZ,2,7,0,0,3352,10000000,12
COCZ,2,7,0,0,2617,10000000,13
COCZ,2,7,0,0,2146,10000000,14
COCZ,2,7,0,0,2408,10000000,15
COCZ,2,7,0,0,1895,10000000,16
COCZ,2,7,0,0,1812,10000000,17
COCZ,2,7,0,0,1885,10000000,18
COCZ,2,7,0,0,3585,10000000,19
COCZ,2,7,0,0,6416,10000000,20
COCZ,2,7,0,0,2412,10000000,21
COCZ,2,7,0,0,2868,10000000,22
COCZ,2,7,0,0,4982,10000000,23
COCZ,2,7,0,0,2680,10000000,24
COCZ,2,7,0,0,1969,10000000,25
COCZ,2,7,0,0,1679,10000000,26
COCZ,2,7,0,0,2637,10000000,27
COCZ,2,7,0,0,3611,10000000,28
COCZ,2,7,0,0,2562,10000000,29
COCZ,2,10,0,0,5371,10000000,0
COCZ,2,10,0,0,11815,10000000,1
COCZ,2,10,0,0,10283,10000000,2
COCZ,2,10,0,0,15905,10000000,3
COCZ,2,10,0,0,12070,10000000,4
COCZ,2,10,0,0,4781,10000000,5
COCZ,2,10,0,0,8111,10000000,6
COCZ,2,10,0,0,7405,10000000,7
COCZ,2,10,0,0,12802,10000000,8
COCZ,2,10,0,0,6769,10000000,9
