benchmark,M,blockSize,k,cxpb,pop_factor,gen,NGEN,seed
COCZ,2,3,0,0,1.0,354,10000000,0
COCZ,2,3,0,0,1.0,509,10000000,1
COCZ,2,3,0,0,1.0,365,10000000,2
COCZ,2,3,0,0,1.0,279,10000000,3
COCZ,2,3,0,0,1.0,585,10000000,4
COCZ,2,3,0,0,1.0,493,10000000,5
COCZ,2,3,0,0,1.0,440,10000000,6
COCZ,2,3,0,0,1.0,561,10000000,7
COCZ,2,3,0,0,1.0,462,10000000,8
COCZ,2,3,0,0,1.0,448,10000000,9
COCZ,2,3,0,0,1.0,455,10000000,10
COCZ,2,3,0,0,1.0,501,10000000,11
COCZ,2,3,0,0,1.0,893,10000000,12
COCZ,2,3,0,0,1.0,472,10000000,13
COCZ,2,3,0,0,1.0,348,10000000,14
COCZ,2,3,0,0,1.0,585,10000000,15
COCZ,2,3,0,0,1.0,404,10000000,16
COCZ,2,3,0,0,1.0,539,10000000,17
COCZ,2,3,0,0,1.0,520,10000000,18
COCZ,2,3,0,0,1.0,332,10000000,19
COCZ,2,5,0,0,1.0,2064,10000000,0
COCZ,2,5,0,0,1.0,2294,10000000,1
COCZ,2,5,0,0,1.0,2294,10000000,2
COCZ,2,5,0,0,1.0,2174,10000000,3
COCZ,2,5,0,0,1.0,2995,10000000,4
COCZ,2,5,0,0,1.0,4092,10000000,5
COCZ,2,5,0,0,1.0,2719,10000000,6
COCZ,2,5,0,0,1.0,2761,10000000,7
COCZ,2,5,0,0,1.0,2004,10000000,8
COCZ,2,5,0,0,1.0,2235,10000000,9
COCZ,2,5,0,0,1.0,2878,10000000,10
COCZ,2,5,0,0,1.0,2902,10000000,11
COCZ,2,5,0,0,1.0,3781,10000000,12
COCZ,2,5,0,0,1.0,5114,10000000,13
COCZ,2,5,0,0,1.0,2709,10000000,14
COCZ,2,5,0,0,1.0,4744,10000000,15
COCZ,2,5,0,0,1.0,3869,10000000,16
COCZ,2,5,0,0,1.0,2748,10000000,17
COCZ,2,5,0,0,1.0,3246,10000000,18
COCZ,2,5,0,0,1.0,2279,10000000,19
COCZ,2,7,0,0,1.0,9264,10000000,0
COCZ,2,7,0,0,1.0,16837,10000000,1
COCZ,2,7,0,0,1.0,4665,10000000,2
COCZ,2,7,0,0,1.0,4171,10000000,3
COCZ,2,7,0,0,1.0,7245,10000000,4
COCZ,2,7,0,0,1.0,10288,10000000,5
COCZ,2,7,0,0,1.0,9041,10000000,6
COCZ,2,7,0,0,1.0,5968,10000000,7
COCZ,2,7,0,0,1.0,7791,10000000,8
COCZ,2,7,0,0,1.0,6771,10000000,9
COCZ,2,7,0,0,1.0,7598,10000000,10
COCZ,2,7,0,0,1.0,5217,10000000,11
COCZ,2,7,0,0,1.0,9457,10000000,12
COCZ,2,7,0,0,1.0,6547,10000000,13
COCZ,2,7,0,0,1.0,8346,10000000,14
COCZ,2,7,0,0,1.0,5989,10000000,15
COCZ,2,7,0,0,1.0,5851,10000000,16
COCZ,2,7,0,0,1.0,16040,10000000,17
COCZ,2,7,0,0,1.0,7481,10000000,18
COCZ,2,7,0,0,1.0,6284,10000000,19
COCZ,2,10,0,0,1.0,34653,10000000,0
COCZ,2,10,0,0,1.0,19286,10000000,1
COCZ,2,10,0,0,1.0,30581,10000000,2
COCZ,2,10,0,0,1.0,18573,10000000,3
COCZ,2,10,0,0,1.0,19180,10000000,4
COCZ,2,10,0,0,1.0,34866,10000000,5
COCZ,2,10,0,0,1.0,17520,10000000,6
COCZ,2,10,0,0,1.0,19081,10000000,7
COCZ,2,10,0,0,1.0,13532,10000000,8
COCZ,2,10,0,0,1.0,32100,10000000,9
COCZ,2,10,0,0,1.0,24638,10000000,10
COCZ,2,10,0,0,1.0,18566,10000000,11
COCZ,2,10,0,0,1.0,32296,10000000,12
COCZ,2,10,0,0,1.0,20593,10000000,13
COCZ,2,10,0,0,1.0,26680,10000000,14
COCZ,2,10,0,0,1.0,27934,10000000,15
COCZ,2,10,0,0,1.0,22409,10000000,16
COCZ,2,10,0,0,1.0,19812,10000000,17
COCZ,2,10,0,0,1.0,29163,10000000,18
COCZ,2,10,0,0,1.0,16027,10000000,19
OJZJ,2,5,2,0,1.0,2223,10000000,0
OJZJ,2,5,2,0,1.0,1236,10000000,1
OJZJ,2,5,2,0,1.0,4558,10000000,2
OJZJ,2,5,2,0,1.0,2625,10000000,3
OJZJ,2,5,2,0,1.0,3093,10000000,4
OJZJ,2,5,2,0,1.0,827,10000000,5
OJZJ,2,5,2,0,1.0,1856,10000000,6
OJZJ,2,5,2,0,1.0,1870,10000000,7
OJZJ,2,5,2,0,1.0,4461,10000000,8
OJZJ,2,5,2,0,1.0,5071,10000000,9
OJZJ,2,5,2,0,1.0,2237,10000000,10
